Cl        Cd    
1.05607   0.00783 
1.06028   0.01087 
1.06031   0.01018 
1.06006   0.01058 
1.05827   0.00942 
1.05854   0.01015 
1.05855   0.01063 
1.05723   0.01020 
1.05605   0.00992 
1.05606   0.01074 
1.05519   0.01092 
1.05355   0.01078 
1.05179   0.01071 
1.05113   0.01166 
1.04900   0.01149 
1.04665   0.01151 
1.04422   0.01137 
1.04306   0.01244 
1.04093   0.01297 
1.03752   0.01313 
1.03262   0.01210 
1.03036   0.01307 
1.02791   0.01422 
1.02414   0.01479 
1.01870   0.01438 
1.01566   0.01654 
1.00986   0.01703 
1.00425   0.01840 
0.99676   0.01871 
0.99130   0.02153 
0.98366   0.02393 
0.97362   0.02700 
0.95795   0.02902 
0.93955   0.03200 
0.91239   0.03618 
0.87240   0.04160 
0.80804   0.04477 
0.70391   0.04508 
0.53232   0.05052 
