# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
3

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,wing,0,0,0,YJWWQYCGDI,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.638000000000000123e+00, 0.000000000000000000e+00, 7.000000000000000666e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,40,41
# x,y,z,u,w
3.037520254965780264e+00, 0.000000000000000000e+00, 7.366477276310224864e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
3.024727974074376213e+00, 0.000000000000000000e+00, 7.350116781926575582e-01, 1.000000000000000000e+00, 2.217532743852416652e-02
3.006106839328849922e+00, 0.000000000000000000e+00, 7.329033373241833349e-01, 1.000000000000000000e+00, 4.861236019843818978e-02
2.979271268922613736e+00, 0.000000000000000000e+00, 7.304330325868513274e-01, 1.000000000000000000e+00, 8.667019716349225189e-02
2.941139716269010940e+00, 0.000000000000000000e+00, 7.283007564787571386e-01, 1.000000000000000000e+00, 1.406477802401618626e-01
2.888115730564175809e+00, 0.000000000000000000e+00, 7.266141122993108326e-01, 1.000000000000000000e+00, 2.156105921095681499e-01
2.816639939797717318e+00, 0.000000000000000000e+00, 7.231301928038598170e-01, 1.000000000000000000e+00, 3.167313800375860522e-01
2.723921336415747518e+00, 0.000000000000000000e+00, 7.184605166969851853e-01, 1.000000000000000000e+00, 4.479128170830611877e-01
2.609550522595642796e+00, 0.000000000000000000e+00, 7.127051918219889926e-01, 1.000000000000000000e+00, 6.097298653327898332e-01
2.476996553486746855e+00, 0.000000000000000000e+00, 7.043725909157523279e-01, 1.000000000000000000e+00, 7.973767199424517393e-01
2.333956946628245266e+00, 0.000000000000000000e+00, 6.935734905928558902e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
2.190955281844236602e+00, 0.000000000000000000e+00, 6.821099213890862156e-01, 1.000000000000000000e+00, 1.202623280057548483e+00
2.058498665288678087e+00, 0.000000000000000000e+00, 6.719215754605011304e-01, 1.000000000000000000e+00, 1.390270134667210167e+00
1.944189847897963341e+00, 0.000000000000000000e+00, 6.647628420546642936e-01, 1.000000000000000000e+00, 1.552087182916938923e+00
1.851521668706334944e+00, 0.000000000000000000e+00, 6.589490332789946780e-01, 1.000000000000000000e+00, 1.683268619962413837e+00
1.779970905029919059e+00, 0.000000000000000000e+00, 6.580913694340755349e-01, 1.000000000000000000e+00, 1.784389407890431656e+00
